lei,ementa
"Lei nº 14.464, de 1º.11.2022Publicada no DOU de 3 .11.2022",Autoriza o Poder Executivo federal a doar 20 (vinte) viaturas operacionais MBB 1418 revitalizadas ao Exército Paraguaio.
"Lei nº 14.463, de 26.10.2022Publicada no DOU de 27 .10.2022","Dispõe sobre a reabertura do prazo para opção pelo regime de previdência complementar e altera a Lei nº 12.618, de 30 de abril de 2012, e a Lei nº 9.250, de 26 de dezembro de 1995, para adequá-las à Emenda Constitucional nº 103, de 12 de novembro de 2019, e estabelecer a natureza jurídica do benefício especial."
"Lei nº 14.462, de 26.10.2022Publicada no DOU de 27 .10.2022","Altera as Leis nºs 11.977, de 7 de julho de 2009, 14.118, de 12 de janeiro de 2021, 12.087, de 11 de novembro de 2009, e 14.042, de 19 de agosto de 2020, que dispõem sobre o Fundo Garantidor da Habitação Popular (FGHab), a participação da União em fundos garantidores de risco de crédito para microempresas e pequenas e médias empresas e o Programa Emergencial de Acesso a Crédito (Peac); e revoga dispositivos das Leis nºs 12.424, de 16 de junho de 2011, e 13.043, de 13 de novembro de 2014."
"Lei nº 14.461, de 25.10.2022Publicada no DOU de 26 .10.2022",Autoriza a prorrogação de contratos por tempo determinado no âmbito da Fundação Instituto Brasileiro de Geografia e Estatística (IBGE).
"Lei nº 14.460, de 25.10.2022Publicada no DOU de 26 .10.2022","Transforma a Autoridade Nacional de Proteção de Dados (ANPD) em autarquia de natureza especial e transforma cargos comissionados; altera as Leis nºs 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), e 13.844, de 18 de junho de 2019; e revoga dispositivos da Lei nº 13.853, de 8 de julho de 2019."
"Lei nº 14.459, de 25.10.2022Publicada no DOU de 26 .10.2022","Altera a Lei nº 12.598, de 21 de março de 2012, que estabelece normas especiais para as compras, as contratações e o desenvolvimento de produtos e de sistemas de defesa e dispõe sobre regras de incentivo à área estratégica de defesa."
"Lei nº 14.458, de 19.10.2022Publicada no DOU de 20 .10.2022",Dispõe sobre o estabelecimento de barreiras sanitárias protetivas de áreas indígenas.
"Lei nº 14.457, de 21.9.2022Publicada no DOU de 22 .9.2022","Institui o Programa Emprega + Mulheres; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 11.770, de 9 de setembro de 2008, 13.999, de 18 de maio de 2020, e 12.513, de 26 de outubro de 2011 .  Mensagem de veto"
"Lei nº 14.456, de 21.9.2022Publicada no DOU de 22 .9.2022","Transforma cargos vagos das carreiras de Auxiliar Judiciário e de Técnico Judiciário em cargos vagos da carreira de Analista Judiciário no Quadro Permanente do Tribunal de Justiça do Distrito Federal e dos Territórios; e altera a Lei nº 11.416, de 15 de dezembro de 2006, para exigir curso de ensino superior completo como requisito para a investidura na carreira de Técnico Judiciário do Poder Judiciário da União .  Mensagem de veto"
"Lei nº 14.455, de 21.9.2022Publicada no DOU de 22 .9.2022","Autoriza o Poder Executivo a instituir os produtos lotéricos denominados Loteria da Saúde e Loteria do Turismo; e altera a Lei nº 13.756, de 12 de dezembro de 2018.  Mensagem de veto"
"Lei nº 14.454, de 21.9.2022Publicada no DOU de 22 .9.2022","Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos privados de assistência à saúde, para estabelecer critérios que permitam a cobertura de exames ou tratamentos de saúde que não estão incluídos no rol de procedimentos e eventos em saúde suplementar."
"Lei nº 14.453, de 21.9.2022Publicada no DOU de 22 .9.2022","Estabelece critérios para autorizar a prorrogação do direito de uso de radiofrequência associado à exploração do Serviço Especial de Televisão por Assinatura (TVA), criado pelo Decreto nº 95.744, de 23 de fevereiro de 1988, e ao Serviço de Acesso Condicionado (SeAC); e altera a Lei nº 12.485, de 12 de setembro de 2011 ."
"Lei nº 14.452, de 21.9.2022Publicada no DOU de 22 .9.2022",Redefine os limites do Parque Nacional da Serra dos Órgãos; e dá outras providências.
"Lei nº 14.451, de 21.9.2022Publicada no DOU de 22 .9.2022","Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para modificar os quóruns de deliberação dos sócios da sociedade limitada previstos nos arts. 1.061 e 1.076."
"Lei nº 14.450, de 21.9.2022Publicada no DOU de 22 .9.2022",Cria o Programa Nacional de Navegação de Pacientes para Pessoas com Neoplasia Maligna de Mama.
"Lei nº 14.449, de 15.9.2022Publicada no DOU de 16 .9.2022","Autoriza o Poder Executivo federal a doar dez Viaturas Blindadas de Combate Obuseiro Autopropulsado (VBCOAP) M-108 e onze Viaturas Blindadas de Transporte de Pessoal (VBTP) EE-11 Urutu, do Comando do Exército, para a República Oriental do Uruguai."
"Lei nº 14.448, de 9.9.2022Publicada no DOU de 12 .9.2022","Institui, em âmbito nacional, o Agosto Lilás como mês de proteção à mulher, destinado à conscientização para o fim da violência contra a mulher."
"Lei nº 14.447, de 9.9.2022Publicada no DOU de 9 .9.2022 - Edição extra",Altera os limites da Floresta Nacional de Brasília .
"Lei nº 14.446, de 2.9.2022Publicada no DOU de 5 .9.2022","Altera a Lei nº 7.689, de 15 de dezembro de 1988, que institui a contribuição social sobre o lucro das pessoas jurídicas."
"Lei nº 14.445, de 2.9.2022Publicada no DOU de 5 .9.2022","Altera a Lei nº 13.703, de 8 de agosto de 2018, que institui a Política Nacional de Pisos Mínimos do Transporte Rodoviário de Cargas."
"Lei nº 14.444, de 2.9.2022Publicada no DOU de 5 .9.2022","Denomina Viaduto São Frei Galvão o viaduto situado no km 58 da rodovia BR-116, no Município de Guaratinguetá, Estado de São Paulo ."
"Lei nº 14.443, de 2.9.2022Publicada no DOU de 5 .9.2022","Altera a Lei nº 9.263, de 12 de janeiro de 1996, para determinar prazo para oferecimento de métodos e técnicas contraceptivas e disciplinar condições para esterilização no âmbito do planejamento familiar ."
"Lei nº 14.442, de 2.9.2022Publicada no DOU de 5 .9.2022","Dispõe sobre o pagamento de auxílio-alimentação ao empregado e altera a Lei nº 6.321, de 14 de abril de 1976, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943 .  Mensagem de veto"
"Lei nº 14.441, de 2.9.2022Publicada no DOU de 5 .9.2022","Altera as Leis nºs 8.213, de 24 de julho de 1991, 8.742, de 7 de dezembro de 1993, 11.699, de 13 de junho de 2008, 13.240, de 30 de dezembro de 2015, e 13.846, de 18 de junho de 2019, para dispor sobre o fluxo de análise de benefícios previdenciários e assistenciais sob avaliação do Instituto Nacional do Seguro Social (INSS), da Perícia Médica Federal e do Conselho de Recursos da Previdência Social e para dispor sobre a gestão dos imóveis que constituem o patrimônio imobiliário do Fundo do Regime Geral de Previdência Social .  Mensagem de veto"
"Lei nº 14.440, de 2.9.2022Publicada no DOU de 5 .9.2022","Institui o Programa de Aumento da Produtividade da Frota Rodoviária no País (Renovar); e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), 10.336, de 19 de dezembro de 2001, 10.833, de 29 de dezembro de 2003, 10.865, de 30 de abril de 2004, 11.080, de 30 de dezembro de 2004, 11.442, de 5 de janeiro de 2007, 11.945, de 4 de junho de 2009, e 13.483, de 21 de setembro de 2017.  Mensagem de veto"
